age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid
69,F,Other,Greater than 45,Low,Male,0,-1,1,No,No
34,F,African-American,25 - 45,Low,Male,0,-1,3,Yes,Yes
24,F,African-American,Less than 25,Low,Male,4,-1,4,Yes,Yes
44,M,Other,25 - 45,Low,Male,0,0,1,No,No
41,F,Caucasian,25 - 45,Medium,Male,14,-1,6,Yes,Yes
43,F,Other,25 - 45,Low,Male,3,-1,4,No,No
39,M,Caucasian,25 - 45,Low,Female,0,-1,1,No,No
21,F,Caucasian,Less than 25,Low,Male,1,428,3,Yes,Yes
27,F,Caucasian,25 - 45,Low,Male,0,-1,4,No,No
23,M,African-American,Less than 25,Medium,Male,3,0,6,Yes,Yes
37,M,Caucasian,25 - 45,Low,Female,0,0,1,No,No
41,F,African-American,25 - 45,Low,Male,0,-1,4,No,No
47,F,Caucasian,Greater than 45,Low,Female,1,-20,1,Yes,Yes
31,F,African-American,25 - 45,Low,Male,7,22,3,Yes,Yes
37,M,Hispanic,25 - 45,Low,Male,0,0,1,No,No
25,F,African-American,25 - 45,High,Male,3,-1,10,No,No
31,F,Caucasian,25 - 45,Medium,Male,6,-1,5,Yes,Yes
31,F,Caucasian,25 - 45,Low,Male,5,-1,3,Yes,Yes
64,F,African-American,Greater than 45,Medium,Male,13,-1,6,Yes,Yes
21,F,African-American,Less than 25,High,Male,1,-1,9,Yes,Yes
27,M,Caucasian,25 - 45,Low,Male,0,0,2,Yes,Yes
21,F,Caucasian,Less than 25,Low,Female,0,-2,4,No,No
24,F,Hispanic,Less than 25,Low,Male,1,0,4,Yes,Yes
43,M,Caucasian,25 - 45,Low,Male,1,-1,1,No,No
32,M,Other,25 - 45,Low,Male,0,-1,3,No,No
27,F,African-American,25 - 45,Low,Male,8,-1,3,Yes,Yes
36,F,Caucasian,25 - 45,Low,Female,3,53,3,No,No
26,F,African-American,25 - 45,Medium,Male,5,-1,7,Yes,Yes
33,F,African-American,25 - 45,High,Male,0,0,10,Yes,Yes
30,F,Caucasian,25 - 45,High,Male,9,0,9,Yes,Yes
32,F,African-American,25 - 45,High,Male,4,-1,8,Yes,Yes
55,F,Caucasian,Greater than 45,Low,Male,0,-1,1,No,No
49,F,Other,Greater than 45,Low,Male,7,-1,3,Yes,Yes
26,M,Caucasian,25 - 45,High,Male,6,81,8,No,No
33,M,Caucasian,25 - 45,Medium,Female,4,-1,5,Yes,Yes
24,M,Caucasian,Less than 25,Low,Male,1,0,2,Yes,Yes
34,F,African-American,25 - 45,High,Male,21,0,9,Yes,Yes
29,M,Caucasian,25 - 45,Low,Male,0,0,2,No,No
21,F,African-American,Less than 25,High,Female,2,-1,8,No,No
51,M,African-American,Greater than 45,Low,Male,2,-1,1,No,No
29,M,Caucasian,25 - 45,Low,Male,2,-1,2,Yes,Yes
51,F,African-American,Greater than 45,Low,Female,7,-1,2,No,No
29,F,African-American,25 - 45,Medium,Male,0,0,7,Yes,Yes
25,M,Caucasian,25 - 45,High,Male,9,-1,10,Yes,Yes
35,F,African-American,25 - 45,High,Male,13,-1,8,Yes,Yes
49,M,Caucasian,Greater than 45,Low,Male,0,0,1,No,No
34,M,African-American,25 - 45,Low,Male,4,-59,3,Yes,Yes
29,F,African-American,25 - 45,Low,Male,0,0,4,No,No
29,F,Caucasian,25 - 45,Low,Male,1,-24,2,Yes,Yes
28,F,Other,25 - 45,Low,Female,0,-1,2,No,No
48,F,Caucasian,Greater than 45,Medium,Male,20,302,6,Yes,Yes
63,F,Hispanic,Greater than 45,Low,Female,1,-219,1,No,No
31,F,African-American,25 - 45,Medium,Male,15,-1,5,Yes,No
24,F,African-American,Less than 25,Low,Male,2,-1,4,Yes,Yes
30,M,Hispanic,25 - 45,Medium,Male,0,0,7,No,No
49,M,African-American,Greater than 45,Low,Male,4,-1,1,No,No
53,F,Caucasian,Greater than 45,Medium,Male,8,-13,5,No,No
35,F,African-American,25 - 45,Low,Male,5,-1,3,No,No
63,M,African-American,Greater than 45,Medium,Male,10,-38,7,Yes,Yes
27,F,African-American,25 - 45,High,Male,15,-1,10,Yes,Yes
38,M,Caucasian,25 - 45,Low,Male,4,-1,2,Yes,Yes
22,F,African-American,Less than 25,Low,Male,1,-1,4,Yes,Yes
22,F,African-American,Less than 25,High,Male,2,70,10,Yes,Yes
29,F,African-American,25 - 45,High,Male,4,-1,9,Yes,Yes
62,M,Hispanic,Greater than 45,Low,Male,0,0,1,No,No
27,F,African-American,25 - 45,Medium,Male,6,0,6,Yes,Yes
33,M,Other,25 - 45,Low,Male,0,-1,1,No,No
56,M,African-American,Greater than 45,Low,Female,0,0,1,No,No
45,F,Hispanic,Greater than 45,Low,Male,6,-1,1,Yes,Yes
22,F,Hispanic,Less than 25,Low,Male,1,-1,4,No,No
39,M,African-American,25 - 45,Low,Male,1,-1,4,No,No
29,F,African-American,25 - 45,Medium,Male,5,0,6,Yes,Yes
27,F,Caucasian,25 - 45,Medium,Male,1,-1,6,Yes,Yes
40,F,African-American,25 - 45,Low,Male,2,-15,2,No,No
22,M,African-American,Less than 25,Low,Male,1,0,3,Yes,Yes
22,F,Caucasian,Less than 25,High,Male,0,-1,8,No,No
26,F,African-American,25 - 45,Low,Female,1,-1,4,Yes,Yes
27,F,Caucasian,25 - 45,Medium,Male,1,-43,7,Yes,Yes
32,F,African-American,25 - 45,Low,Male,0,-1,2,No,No
41,M,African-American,25 - 45,Low,Male,1,-1,2,No,No
30,M,African-American,25 - 45,High,Male,8,-1,10,Yes,Yes
50,F,Other,Greater than 45,Low,Male,0,-1,1,Yes,Yes
25,F,African-American,25 - 45,High,Male,14,-1,10,Yes,Yes
20,F,Other,Less than 25,Medium,Male,0,-1,5,Yes,Yes
22,F,African-American,Less than 25,High,Male,2,0,9,Yes,Yes
23,M,African-American,Less than 25,Medium,Male,2,137,7,Yes,Yes
35,M,African-American,25 - 45,Low,Female,1,-1,2,No,No
36,F,African-American,25 - 45,Medium,Male,9,0,7,Yes,Yes
26,F,Caucasian,25 - 45,High,Male,7,0,8,Yes,Yes
21,F,Other,Less than 25,Medium,Male,1,0,6,Yes,Yes
25,F,Caucasian,25 - 45,High,Male,9,-1,8,Yes,Yes
20,F,Caucasian,Less than 25,Medium,Female,0,-1,7,No,No
39,F,Caucasian,25 - 45,Low,Male,2,-2,1,Yes,Yes
66,F,Caucasian,Greater than 45,Low,Male,3,-64,1,No,No
54,M,Caucasian,Greater than 45,Low,Female,0,0,1,No,No
44,M,Hispanic,25 - 45,Low,Female,0,-2,1,No,No
19,M,African-American,Less than 25,Low,Male,1,-10,4,Yes,Yes
24,F,African-American,Less than 25,Low,Male,1,-137,2,No,No
30,F,African-American,25 - 45,Low,Male,1,-1,2,No,No
39,F,Caucasian,25 - 45,Low,Female,0,-1,1,Yes,Yes
24,F,Caucasian,Less than 25,Medium,Male,8,-1,6,Yes,Yes
30,F,Caucasian,25 - 45,Low,Male,0,-1,4,No,No
31,M,Caucasian,25 - 45,Medium,Male,0,-1,5,No,No
39,F,Caucasian,25 - 45,Low,Female,1,-1,4,No,No
59,F,African-American,Greater than 45,High,Male,14,178,9,Yes,Yes
43,F,Caucasian,25 - 45,Low,Male,1,-30,1,No,No
21,F,African-American,Less than 25,High,Male,3,-1,9,Yes,Yes
